=== Extensions ablation: 9 runs ===

[1/9] RUN  double_icm seed=0

=== Run: double_icm_seed0 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep  860 | R   248.7 | Avg100   195.0 | Eps 0.010 | Loss 0.4103 | r_int   3.39 | t=188s
  Ep  870 | R   251.9 | Avg100   200.2 | Eps 0.010 | Loss 0.4165 | r_int   4.47 | t=189s
  Ep  880 | R   272.1 | Avg100   199.1 | Eps 0.010 | Loss 0.4334 | r_int   4.67 | t=192s
  Ep  890 | R   270.7 | Avg100   201.0 | Eps 0.010 | Loss 0.4258 | r_int  10.97 | t=194s
  Ep  900 | R   275.4 | Avg100   203.7 | Eps 0.010 | Loss 0.3772 | r_int   7.76 | t=196s
  Ep  910 | R   217.3 | Avg100   205.6 | Eps 0.010 | Loss 0.4548 | r_int   6.70 | t=198s
  Ep  920 | R   181.1 | Avg100   210.0 | Eps 0.010 | Loss 0.3883 | r_int   7.47 | t=201s
  Ep  930 | R   249.9 | Avg100   219.8 | Eps 0.010 | Loss 0.3029 | r_int   3.87 | t=202s
  Ep  940 | R   240.7 | Avg100   216.9 | Eps 0.010 | Loss 0.3690 | r_int   9.44 | t=204s
  Ep  950 | R   219.7 | Avg100   216.2 | Eps 0.010 | Loss 0.4835 | r_int   8.86 | t=207s
  Ep  960 | R   229.5 | Avg100   221.0 | Eps 0.010 | Loss 0.2883 | r_int   2.39 | t=209s
  Ep  970 | R   227.2 | Avg100   217.8 | Eps 0.010 | Loss 0.4160 | r_int   7.05 | t=211s
  Ep  980 | R   218.4 | Avg100   216.8 | Eps 0.010 | Loss 0.5181 | r_int   4.19 | t=213s
  Ep  990 | R   267.0 | Avg100   220.5 | Eps 0.010 | Loss 0.3110 | r_int   5.72 | t=215s
  Ep 1000 | R   190.3 | Avg100   222.0 | Eps 0.010 | Loss 0.4506 | r_int  16.48 | t=218s

  Done. Log saved to logs/double_icm_seed1.csv
  Best 100-ep avg: 222.8

[3/9] RUN  double_icm seed=2

=== Run: double_icm_seed2 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep   10 | R  -152.5 | Avg100  -180.0 | Eps 0.980 | Loss 2.4006 | r_int   0.21 | t=0s
  Ep   20 | R  -217.4 | Avg100  -178.5 | Eps 0.960 | Loss 1.8972 | r_int   3.41 | t=1s
  Ep   30 | R  -247.3 | Avg100  -173.9 | Eps 0.941 | Loss 1.4695 | r_int   8.56 | t=1s
  Ep   40 | R  -149.5 | Avg100  -177.8 | Eps 0.921 | Loss 1.1103 | r_int   3.39 | t=2s
  Ep   50 | R  -115.1 | Avg100  -170.9 | Eps 0.901 | Loss 1.1199 | r_int   0.71 | t=2s
  Ep   60 | R     7.3 | Avg100  -167.1 | Eps 0.881 | Loss 1.4590 | r_int   3.18 | t=2s
  Ep   70 | R  -335.5 | Avg100  -166.5 | Eps 0.861 | Loss 1.4572 | r_int   7.84 | t=3s
  Ep   80 | R  -298.5 | Avg100  -167.7 | Eps 0.842 | Loss 1.1660 | r_int   2.34 | t=3s
  Ep   90 | R    28.6 | Avg100  -160.1 | Eps 0.822 | Loss 1.2969 | r_int   9.59 | t=4s
  Ep  100 | R   -87.9 | Avg100  -155.3 | Eps 0.802 | Loss 1.3726 | r_int   4.61 | t=4s
  Ep  110 | R  -136.6 | Avg100  -149.6 | Eps 0.782 | Loss 1.2169 | r_int   4.68 | t=5s
  Ep  120 | R    -1.6 | Avg100  -143.5 | Eps 0.762 | Loss 1.3495 | r_int   8.85 | t=5s
  Ep  130 | R    31.3 | Avg100  -136.5 | Eps 0.743 | Loss 1.1799 | r_int  20.05 | t=6s
  Ep  140 | R  -166.9 | Avg100  -125.4 | Eps 0.723 | Loss 1.2513 | r_int   5.13 | t=7s
  Ep  150 | R  -102.7 | Avg100  -121.2 | Eps 0.703 | Loss 1.2415 | r_int   2.49 | t=7s
  Ep  160 | R   -38.5 | Avg100  -114.4 | Eps 0.683 | Loss 1.3608 | r_int   5.64 | t=8s
  Ep  170 | R   -75.3 | Avg100  -105.7 | Eps 0.663 | Loss 1.5776 | r_int   9.54 | t=8s
  Ep  180 | R  -113.1 | Avg100   -96.1 | Eps 0.644 | Loss 1.5113 | r_int   4.47 | t=9s
  Ep  190 | R   -68.5 | Avg100   -93.0 | Eps 0.624 | Loss 1.4643 | r_int   2.32 | t=10s
  Ep  200 | R   -99.5 | Avg100   -87.8 | Eps 0.604 | Loss 1.3106 | r_int   1.89 | t=11s
  Ep  210 | R    33.1 | Avg100   -82.2 | Eps 0.584 | Loss 1.3916 | r_int   8.47 | t=11s
